date,deaths_new,deaths_bid,deaths_new_dod,deaths_bid_dod,deaths_unvax,deaths_pvax,deaths_fvax,deaths_boost,deaths_tat,daily_partial,daily_full,daily_booster,daily_booster2,daily,daily_partial_adol,daily_full_adol,daily_booster_adol,daily_booster2_adol,daily_partial_child,daily_full_child,daily_booster_child,daily_booster2_child,cumul_partial,cumul_full,cumul_booster,cumul_booster2,cumul,cumul_partial_adol,cumul_full_adol,cumul_booster_adol,cumul_booster2_adol,cumul_partial_child,cumul_full_child,cumul_booster_child,cumul_booster2_child,pfizer1,pfizer2,pfizer3,pfizer4,sinovac1,sinovac2,sinovac3,sinovac4,astra1,astra2,astra3,astra4,sinopharm1,sinopharm2,sinopharm3,sinopharm4,cansino,cansino3,cansino4,pending1,pending2,pending3,pending4,cases_new,cases_import,cases_recovered,cases_active,cases_cluster,cases_unvax,cases_pvax,cases_fvax,cases_boost,cases_child,cases_adolescent,cases_adult,cases_elderly,cases_0_4,cases_5_11,cases_12_17,cases_18_29,cases_30_39,cases_40_49,cases_50_59,cases_60_69,cases_70_79,cases_80
3/8/2021,195,34,340,84,206,112,22,0,3,254195,251032,0,0,505227,860,395,0,0,16,4,0,0,15017544,7603169,0,0,22620688,24180,6776,0,0,445,180,0,0,179819,68045,0,0,70163,169669,0,0,4091,13240,0,0,0,0,0,0,1,0,0,122,77,0,0,17105,37,12297,203666,2400,11010,4751,1344,0,2424,1239,11777,1192,986,1438,1239,4656,3392,2207,1522,781,299,112
26/8/2021,393,100,270,56,160,81,29,0,6,173050,267556,0,0,440606,1161,597,0,0,39,18,0,0,19433189,14377956,0,0,33809095,43699,20884,0,0,994,458,0,0,111149,170110,0,0,49841,72528,0,0,11886,22878,0,0,0,0,0,0,1979,0,0,174,61,0,0,24599,8,22657,265845,3394,12365,7315,4919,0,3437,1722,16450,1872,1346,2091,1722,6374,4922,3132,2022,1144,536,191
18/12/2021,29,7,37,10,14,1,22,0,3,1181,2398,70501,46,74126,291,600,11,0,5,7,3,0,25998189,25609887,4541349,11647,55963017,2693775,2608603,856,4,17246,12418,43,0,698,1334,56292,23,439,743,12602,19,0,39,1375,3,44,76,58,0,205,4,0,0,1,170,1,4083,34,5435,54096,209,1015,22,2899,147,660,142,2757,503,271,389,142,963,882,526,386,327,134,42
3/11/2021,46,8,55,8,19,1,35,0,2,8675,45227,65657,266,119825,2987,28136,28,0,31,116,0,0,25770013,24993516,487031,1876,51067823,2618010,2282363,77,0,16165,10823,1,0,7000,40061,65138,266,1362,3160,462,0,0,1264,1,0,308,252,31,0,475,0,0,5,15,25,0,5291,7,4947,67163,149,1361,175,3718,37,884,199,3513,643,347,537,199,1188,1146,656,523,426,150,67
10/12/2021,44,10,30,6,13,1,16,0,3,3942,7518,117183,68,128711,1345,2522,25,0,25,21,5,0,25972112,25573030,3565239,10913,54925034,2684971,2596558,667,4,17121,12335,23,0,3227,5510,92214,42,618,1419,23224,23,0,91,1566,3,94,161,128,0,335,0,0,3,2,51,0,5058,17,4997,60875,190,1225,41,3634,158,816,223,3410,581,311,505,223,1138,1139,671,462,356,163,62
30/7/2021,134,9,328,89,217,103,8,0,2,333244,203247,0,0,536491,844,315,0,0,15,0,0,0,13878595,6706230,0,0,20584804,20920,5430,0,0,360,170,0,0,168947,42864,0,0,149128,147312,0,0,15074,13057,0,0,1,0,0,0,0,0,0,94,14,0,0,16840,17,12179,183708,3075,11553,4164,1123,0,2262,1178,11664,1108,919,1343,1178,4596,3543,2137,1388,712,298,98
8/8/2021,360,85,320,78,213,88,19,0,8,172445,239837,0,0,412282,506,582,0,0,10,2,0,0,16079916,8933520,0,0,25013406,27356,9746,0,0,518,205,0,0,79993,93807,0,0,68417,131940,0,0,24014,14073,0,0,0,0,0,0,1,0,0,21,16,0,0,18688,10,17055,225396,2585,10973,5982,1733,0,2505,1340,13078,1381,973,1532,1340,5128,3958,2412,1580,929,331,121
21/9/2021,334,84,152,24,87,29,36,0,27,127658,148586,5,0,276249,83920,1086,0,0,419,15,0,0,22833634,19335280,207,0,42051214,411849,40730,0,0,3864,1027,0,0,119183,103986,3,0,7755,20389,2,0,592,20439,0,0,127,0,0,0,3751,0,0,1,21,0,0,15759,27,16650,206477,1223,5519,2855,7385,0,2451,1399,10017,1611,935,1516,1399,3687,3051,1843,1436,968,461,182
9/11/2021,78,19,52,13,22,2,27,1,3,8358,31954,79257,333,119902,2600,22003,9,0,49,42,0,0,25804465,25152172,745028,2870,51518319,2628631,2380329,175,0,16354,11287,1,0,6724,28132,78595,329,1388,2401,593,2,1,752,0,0,242,220,30,0,447,0,0,3,2,39,2,5403,25,5311,61777,134,1445,122,3774,62,948,208,3540,657,366,582,208,1181,1130,665,564,398,180,79
21/10/2021,96,21,60,17,27,4,29,0,3,32712,194682,20584,0,247978,18967,149013,0,0,113,392,0,0,25559955,23777933,72405,3,49237816,2512278,1348589,1,0,15260,7966,0,0,29503,175413,20564,0,2865,5539,12,0,8,11918,2,0,330,125,3,0,1645,3,0,6,42,0,0,6210,42,7562,81778,303,1645,432,4126,7,1071,339,3949,826,438,633,339,1273,1270,809,597,527,205,94
20/10/2021,76,14,64,17,27,7,30,0,3,31130,220939,17337,1,269407,18407,175809,0,0,100,871,0,0,25525598,23583251,51821,3,48989838,2493300,1199576,1,0,15146,7574,0,0,28483,204492,17309,1,2293,4859,21,0,84,10087,1,0,263,155,6,0,1302,0,0,7,44,0,0,5516,14,9401,83226,206,1396,369,3749,2,884,271,3590,741,386,498,271,1182,1133,711,564,447,218,76
25/12/2021,25,4,23,3,6,2,15,0,2,529,1441,24337,90,26397,101,603,10,0,0,4,0,0,26017384,25638075,5433873,13891,56903808,2700699,2619081,1055,5,17308,12459,67,0,374,983,20227,64,126,301,2923,24,1,1,1159,1,28,63,24,0,93,1,1,0,0,3,0,3160,156,4420,45601,71,671,12,2264,213,447,135,2131,431,190,257,135,734,649,416,332,276,121,34
